'CAUSE 1.0	K AH Z
'EM 1.0	AH M
'KAY 1.0	K EY
'TIL 1.0	T IH L
'TIS 1.0	T IH Z
<unk> 1.0	oov
A 1.0	AH
A 1.0	EY
A. 1.0	EY
A.'S 1.0	EY Z
A.S 1.0	EY Z
AACHEN 1.0	AA K AH N
AARDVARK 1.0	AA R D V AA R K
AARON 1.0	EH R AH N
AARON'S 1.0	EH R AH N Z
AARONSON 1.0	AA R AH N S AH N
AARONSON 1.0	EH R AH N S AH N
AB 1.0	AE B
AB 1.0	EY B IY
ABACK 1.0	AH B AE K
ABACUS 1.0	AE B AH K AH S
ABALONE 1.0	AE B AH L OW N IY
ABANDON 1.0	AH B AE N D AH N
ABANDONED 1.0	AH B AE N D AH N D
ABANDONING 1.0	AH B AE N D AH N IH NG
ABANDONMENT 1.0	AH B AE N D AH N M AH N T
ABANDONS 1.0	AH B AE N D AH N Z
ABASHED 1.0	AH B AE SH T
ABATE 1.0	AH B EY T
ABATED 1.0	AH B EY T IH D
ABATEMENT 1.0	AH B EY T M AH N T
ABATING 1.0	AH B EY T IH NG
ABBA 1.0	AE B AH
ABBAS 1.0	AH B AA S
ABBE 1.0	AE B EY
ABBE 1.0	AE B IY
ABBEY 1.0	AE B IY
ABBEY'S 1.0	AE B IY Z
ABBIE 1.0	AE B IY
ABBOT 1.0	AE B AH T
ABBOTT 1.0	AE B AH T
ABBREVIATE 1.0	AH B R IY V IY EY T
ABBREVIATED 1.0	AH B R IY V IY EY T AH D
ABBREVIATED 1.0	AH B R IY V IY EY T IH D
ABBREVIATION 1.0	AH B R IY V IY EY SH AH N
ABBREVIATIONS 1.0	AH B R IY V IY EY SH AH N Z
ABBY 1.0	AE B IY
ABDICATE 1.0	AE B D AH K EY T
ABDICATED 1.0	AE B D AH K EY T AH D
ABDICATION 1.0	AE B D IH K EY SH AH N
ABDOMEN 1.0	AE B D AH M AH N
ABDOMEN 1.0	AE B D OW M AH N
ABDOMINAL 1.0	AE B D AA M AH N AH L
ABDOMINAL 1.0	AH B D AA M AH N AH L
ABDUCT 1.0	AE B D AH K T
ABDUCTED 1.0	AE B D AH K T IH D
ABDUCTED 1.0	AH B D AH K T IH D
ABDUCTEES 1.0	AE B D AH K T IY Z
ABDUCTING 1.0	AE B D AH K T IH NG
ABDUCTING 1.0	AH B D AH K T IH NG
ABDUCTION 1.0	AE B D AH K SH AH N
ABDUCTION 1.0	AH B D AH K SH AH N
ABDUCTIONS 1.0	AE B D AH K SH AH N Z
ABDUCTIONS 1.0	AH B D AH K SH AH N Z
ABDUCTOR 1.0	AE B D AH K T ER
ABDUCTOR 1.0	AH B D AH K T ER
ABDUCTORS 1.0	AE B D AH K T ER Z
ABDUCTORS 1.0	AH B D AH K T ER Z
ABDUL 1.0	AE B D UW L
ABDULLAH 1.0	AE B D AH L AH
ABE 1.0	EY B
ABED 1.0	AH B EH D
ABEL 1.0	EY B AH L
ABELSON 1.0	AE B IH L S AH N
ABERCROMBIE 1.0	AE B ER K R AA M B IY
ABERDEEN 1.0	AE B ER D IY N
ABERRANT 1.0	AE B EH R AH N T
ABERRATION 1.0	AE B ER EY SH AH N
ABERRATIONS 1.0	AE B ER EY SH AH N Z
ABET 1.0	AH B EH T
ABETTED 1.0	AH B EH T IH D
ABETTING 1.0	AH B EH T IH NG
ABEYANCE 1.0	AH B EY AH N S
ABHOR 1.0	AE B HH AO R
ABHORRED 1.0	AH B HH AO R D
ABHORRENCE 1.0	AH B HH AO R AH N S
ABHORRENT 1.0	AE B HH AO R AH N T
ABHORS 1.0	AH B HH AO R Z
ABIDE 1.0	AH B AY D
ABIDED 1.0	AH B AY D IH D
ABIDES 1.0	AH B AY D Z
ABIDING 1.0	AH B AY D IH NG
ABIDJAN 1.0	AE B IH JH AA N
ABIGAIL 1.0	AE B AH G EY L
ABILENE 1.0	AE B IH L IY N
ABILITIES 1.0	AH B IH L AH T IY Z
ABILITY 1.0	AH B IH L AH T IY
ABINGTON 1.0	AE B IH NG T AH N
ABJECT 1.0	AE B JH EH K T
ABLAZE 1.0	AH B L EY Z
ABLE 1.0	EY B AH L
ABLY 1.0	EY B L IY
ABNER 1.0	AE B N ER
ABNORMAL 1.0	AE B N AO R M AH L
ABNORMALITIES 1.0	AE B N AO R M AE L AH T IY Z
ABNORMALITY 1.0	AE B N AO R M AE L AH T IY
ABNORMALLY 1.0	AE B N AO R M AH L IY
ABOARD 1.0	AH B AO R D
ABODE 1.0	AH B OW D
ABOLISH 1.0	AH B AA L IH SH
ABOLISHED 1.0	AH B AA L IH SH T
ABOLISHING 1.0	AH B AA L IH SH IH NG
ABOLITION 1.0	AE B AH L IH SH AH N
ABOLITIONIST 1.0	AE B AH L IH SH AH N AH S T
ABOLITIONISTS 1.0	AE B AH L IH SH AH N AH S
ABOLITIONISTS 1.0	AE B AH L IH SH AH N AH S T S
ABOMINABLE 1.0	AH B AA M AH N AH B AH L
